timestamp,phase,experiment,strategy,field_type,start_position,rep,total_ig,entropy_reduction,coverage_pct,avg_planning_time,total_time,status,source
2025-08-24T20:06:09.227218,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,1,2425617.9497912824,143482.6466399419,100.0,0.0677943873405456,6.842000961303711,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:17.266047,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,2,2369399.3540595765,141314.02932682936,98.828125,0.0705289840698242,7.116716623306274,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:24.931414,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,3,2377428.648815592,141878.5549161661,99.21875,0.0667794752120971,6.740056991577148,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:33.085068,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,4,2354070.4811915234,143863.1532991428,100.0,0.0718215179443359,7.245449304580688,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:41.868602,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,5,2313808.809536506,136030.80615246005,98.828125,0.078091435432434,7.877136945724487,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:49.590058,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,6,2410476.590911775,141331.28446882864,99.21875,0.0675329279899597,6.813369035720825,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:06:58.659971,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,7,2369644.182056614,138545.52886059234,100.0,0.0808593916893005,8.149050235748291,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:07.091204,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,8,2428774.3028608896,140864.1968852201,100.0,0.0745925831794738,7.52709436416626,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:14.772536,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,9,2312616.273611064,139255.64449220753,97.65625,0.0672649812698364,6.786084890365601,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:23.136656,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,10,2360284.089225482,131925.0378088344,94.53125,0.0737824153900146,7.439306974411011,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:31.670762,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,11,2340901.250423186,140787.8261035345,100.0,0.0752997183799743,7.5974085330963135,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:40.264340,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,12,2323864.797582102,132621.63736033067,95.3125,0.0761090207099914,7.676673412322998,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
